City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,watseka,40.7762,-87.7364,2.2,86,100,6.43,US,1704767778
200,el granada,37.5027,-122.4694,11.9,78,75,3.6,US,1704767502
201,qarqaraly,49.4058,75.4742,-16.58,84,43,4.36,KZ,1704767779
202,qaqortoq,60.7167,-46.0333,-0.83,77,80,4.05,GL,1704767779
203,zaragoza,41.6561,-0.8773,5.01,72,0,1.03,ES,1704767549
204,udachny,66.4167,112.4,-37.62,100,41,1.58,RU,1704767780
205,tsiombe,-25.3,45.4833,23.87,86,6,5.45,MG,1704767780
206,crane,31.3974,-102.3501,4.84,37,2,7.57,US,1704767781
207,tsaratanana,-16.7833,47.65,24.78,90,95,0.9,MG,1704767781
208,egilsstadir,65.2653,-14.3948,2.95,81,0,3.6,IS,1704767781
209,minas de marcona,-15.2119,-75.1103,18.3,82,100,3.79,PE,1704767782
210,kuragino,53.8975,92.6725,-7.36,91,100,1.89,RU,1704767600
211,nizhniy kuranakh,58.8353,125.4869,-25.04,94,100,1.89,RU,1704767782
212,hami,42.8,93.45,-4.16,55,0,2.02,CN,1704767782
213,fort bragg,35.139,-79.006,6.06,73,0,2.06,US,1704767783
214,ayabaca,-4.6398,-79.7149,11.08,89,100,0.95,PE,1704767783
215,swakopmund,-22.6833,14.5333,16.47,90,32,0.82,NA,1704767783
216,port saint john's,-31.6229,29.5448,21.35,87,100,0.85,ZA,1704767784
217,poddebice,51.8934,18.9573,-14.66,87,5,1.77,PL,1704767784
218,bubaque,11.2833,-15.8333,26.21,56,36,6.28,GW,1704767784
219,port alfred,-33.5906,26.891,18.43,97,53,1.33,ZA,1704767520
220,miyaly,48.8844,53.7836,-7.68,69,100,4.69,KZ,1704767785
221,axim,4.8699,-2.2405,26.82,84,20,3.11,GH,1704767785
222,tolanaro,-25.0319,46.9987,24.04,88,40,6.17,MG,1704767785
223,tazovsky,67.4667,78.7,-20.01,98,100,3.98,RU,1704767597
224,tegueste,28.5167,-16.3167,16.56,53,0,2.68,ES,1704767786
225,gao,16.6362,1.637,20.35,16,0,5.14,ML,1704767786
226,fraserburgh,57.6874,-2.0184,1.18,79,55,2.72,GB,1704767787
227,trenton,40.217,-74.7429,2.61,81,0,0.0,US,1704767742
228,bhiria,26.9107,68.1948,12.72,51,0,2.42,PK,1704767787
229,tarawa,1.419,172.984,27.05,94,75,2.06,KI,1704767787
230,lebu,-37.6167,-73.65,13.44,73,0,8.23,CL,1704767787
231,larkird,35.4894,66.6641,-1.32,53,1,4.4,AF,1704767788
232,san rafael del yuma,18.4299,-68.6739,25.76,81,2,4.84,DO,1704767788
233,kayangel,8.0823,134.7173,28.78,71,61,9.03,PW,1704767788
234,chonchi,-42.6128,-73.8092,11.56,92,23,1.18,CL,1704767507
235,nar'yan-mar,67.6713,53.087,-24.38,100,94,2.24,RU,1704767597
236,sremska mitrovica,44.9764,19.6122,-2.27,86,100,2.53,RS,1704767789
237,queenstown,-31.8976,26.8753,15.61,93,100,1.21,ZA,1704767789
238,east london,-33.0153,27.9116,19.07,90,99,1.11,ZA,1704767789
239,teluk nibung,3.001,99.8164,26.93,86,47,1.0,ID,1704767790
240,hithadhoo,-0.6,73.0833,28.2,75,20,4.62,MV,1704767790
241,buala,-8.145,159.5921,29.52,76,95,2.05,SB,1704767790
242,novobelokatay,55.7062,58.9549,-29.77,100,66,2.02,RU,1704767791
243,yantzaza,-3.8278,-78.7594,21.45,99,100,0.42,EC,1704767791
244,canutama,-6.5339,-64.3831,24.95,87,99,1.2,BR,1704767791
245,muli,2.9167,73.5667,27.38,79,98,4.73,MV,1704767792
246,akureyri,65.6835,-18.0878,6.96,65,8,7.2,IS,1704767792
247,kuala belait,4.5833,114.1833,30.09,68,100,0.6,BN,1704767793
248,grootfontein,-19.5667,18.1167,18.76,100,100,1.03,NA,1704767793
249,zouerate,22.7187,-12.4521,17.26,32,96,3.12,MR,1704767793
250,pizarro,4.9533,-77.366,25.6,91,95,2.54,CO,1704767794
251,punta del este,-34.9667,-54.95,21.6,86,0,3.09,UY,1704767794
252,okha,53.5739,142.9478,-23.39,88,8,4.64,RU,1704767794
253,aripuana,-9.1667,-60.6333,23.41,98,97,0.28,BR,1704767795
254,olds,51.7834,-114.102,-8.42,72,88,1.54,CA,1704767795
255,beloyarskiy,63.7119,66.6722,-30.56,100,83,1.79,RU,1704767795
256,labytnangi,66.6572,66.4183,-30.16,95,63,1.75,RU,1704767796
257,hermanus,-34.4187,19.2345,17.1,88,11,4.1,ZA,1704767796
258,puerto ayora,-0.7393,-90.3518,25.31,96,88,2.24,EC,1704767797
259,kamaishi,39.2667,141.8833,6.23,57,49,6.94,JP,1704767797
260,acajutla,13.5928,-89.8275,24.74,76,0,3.49,SV,1704767797
261,sysert',56.4953,60.8192,-21.51,89,80,5.31,RU,1704767730
262,comodoro rivadavia,-45.8667,-67.5,16.92,31,0,14.92,AR,1704767798
263,hasaki,35.7333,140.8333,10.16,44,4,4.52,JP,1704767798
264,sikasso,10.9167,-7.0,23.53,20,0,1.95,ML,1704767644
265,kochubey,44.3861,46.5825,1.64,93,97,2.54,RU,1704767798
266,gwadar,25.1216,62.3254,19.23,31,0,3.46,PK,1704767799
267,rabaul,-4.1967,152.1721,29.43,72,97,3.72,PG,1704767799
268,ormond-by-the-sea,29.3491,-81.0665,19.49,81,100,3.6,US,1704767799
269,pampa del indio,-26.0647,-59.919,30.63,57,63,3.66,AR,1704767800
270,cold lake,54.4502,-110.2017,-18.03,92,100,2.06,CA,1704767800
271,salinas,36.6777,-121.6555,10.46,72,0,0.45,US,1704767800
272,serzedo,41.405,-8.2293,7.39,92,100,4.47,PT,1704767800
273,port lincoln,-34.7333,135.8667,21.17,61,4,3.55,AU,1704767801
274,saldanha,-33.0117,17.9442,15.03,88,1,4.62,ZA,1704767801
275,hilo,19.7297,-155.09,27.85,70,40,8.23,US,1704767523
276,chongwe,-15.3292,28.682,18.3,98,82,0.72,ZM,1704767801
277,tucumcari,35.1717,-103.725,-1.14,59,0,7.2,US,1704767802
278,faya-largeau,17.9257,19.1043,18.2,14,66,5.68,TD,1704767802
279,derzhavinsk,51.1,66.3167,-28.17,99,29,1.69,KZ,1704767802
